user_id,user_link,user_name,user_nationality,level_tag,user_level,badge_tag,user_badge,game_tag,user_games,Cluster
76561198060116174,https://steamcommunity.com/profiles/76561198060116174/,团子不哭,Hong Kong,50-100,86,50-100,58,1000-2000,1934,1
76561199065084227,https://steamcommunity.com/profiles/76561199065084227/,无敌丿龙傲天,,0-20,5,0-20,7,20-50,48,0
76561199370319318,https://steamcommunity.com/profiles/76561199370319318/,孤尘墨离,,0-20,6,0-20,5,0-20,17,0
76561199073550054,https://steamcommunity.com/profiles/76561199073550054/,扶老奶奶闯红灯,,0-20,11,0-20,6,100-500,227,0
76561198344316868,https://steamcommunity.com/profiles/76561198344316868/,pause,"Haikou, Hainan, China",0-20,10,0-20,5,100-500,107,0
76561198085892326,https://steamcommunity.com/profiles/76561198085892326/,逃命跑断腿,,0-20,10,0-20,7,50-100,70,0
76561198309722492,https://steamcommunity.com/profiles/76561198309722492/,轮胎,,0-20,7,0-20,3,50-100,60,0
Lancelot304,https://steamcommunity.com/id/Lancelot304/,阿塔Official,,,-1,None,-1,None,-1,0
76561198368984745,https://steamcommunity.com/profiles/76561198368984745/,Ludwig,China,50-100,54,0-20,14,100-500,152,0
76561198018106109,https://steamcommunity.com/profiles/76561198018106109/,852624886,China,0-20,11,0-20,8,50-100,51,0
76561199435281835,https://steamcommunity.com/profiles/76561199435281835/,TT,,,-1,None,-1,None,-1,0
wwglyt,https://steamcommunity.com/id/wwglyt/,wwglyt,,0-20,2,None,-1,None,-1,0
76561199157712092,https://steamcommunity.com/profiles/76561199157712092/,ikun,,0-20,5,0-20,4,50-100,57,0
76561198161213786,https://steamcommunity.com/profiles/76561198161213786/,394442389,,0-20,6,0-20,2,0-20,18,0
76561198069227924,https://steamcommunity.com/profiles/76561198069227924/,asheslive,"Guangzhou, Guangdong, China",0-20,12,0-20,8,50-100,91,0
2578933803,https://steamcommunity.com/id/2578933803/,Mercer,,,-1,None,-1,None,-1,0
76561199704486347,https://steamcommunity.com/profiles/76561199704486347/,3491807794,,0-20,4,None,-1,None,-1,0
76561199526316576,https://steamcommunity.com/profiles/76561199526316576/,DJ炎帝,,0-20,4,0-20,4,20-50,31,0
76561199024993396,https://steamcommunity.com/profiles/76561199024993396/,momeak,,0-20,6,0-20,4,50-100,52,0
76561198102100505,https://steamcommunity.com/profiles/76561198102100505/,蝎子莱莱,China,0-20,12,0-20,6,100-500,167,0
woaiwojia560895,https://steamcommunity.com/id/woaiwojia560895/,不可谖Alita,United States,0-20,10,None,-1,None,-1,0
76561198104820922,https://steamcommunity.com/profiles/76561198104820922/,UMACAT-WinterNight,China,0-20,13,0-20,11,100-500,200,0
76561198091385090,https://steamcommunity.com/profiles/76561198091385090/,Black Pipe,"Xian, Shaanxi, China",50-100,60,50-100,89,1000-2000,1384,1
76561199654236459,https://steamcommunity.com/profiles/76561199654236459/,icAngel,"Quanzhou, Fujian, China",0-20,1,None,-1,None,-1,0
76561198185112966,https://steamcommunity.com/profiles/76561198185112966/,小丘孤山远,,0-20,6,0-20,3,0-20,9,2
76561199199146740,https://steamcommunity.com/profiles/76561199199146740/,mia2xu,,0-20,5,None,-1,None,-1,0
724783197,https://steamcommunity.com/id/724783197/,冬瓜皮毛毛虫,Japan,20-50,40,0-20,14,50-100,70,0
FLOWERGACHI,https://steamcommunity.com/id/FLOWERGACHI/,烈焰锁皇董志民,,50-100,51,20-50,41,50-100,91,0
76561199275903768,https://steamcommunity.com/profiles/76561199275903768/,NiONine,China,0-20,5,0-20,5,20-50,24,0
76561198125197071,https://steamcommunity.com/profiles/76561198125197071/,你渴望力量吗？,,20-50,40,0-20,18,100-500,102,0
76561198105060589,https://steamcommunity.com/profiles/76561198105060589/,ipjoop,United States,0-20,10,None,-1,None,-1,0
REVOSKY,https://steamcommunity.com/id/REVOSKY/,新天,,,-1,None,-1,None,-1,0
