用户链接,用户名,用户游戏国籍,用户等级,用户持有徽章数,用户持有游戏数,用户持有成就数
https://steamcommunity.com/profiles/76561198275406760/,HEIDI,,26,9,71,5
https://steamcommunity.com/profiles/76561199522884462/,Mr.Min,,22,6,36,
https://steamcommunity.com/profiles/76561199029720978/,界-徐盛,China,8,,,
https://steamcommunity.com/profiles/76561198436296878/,McCree,Canada,39,16,71,4
https://steamcommunity.com/profiles/76561198068476837/,Karan,,54,71,696,9
https://steamcommunity.com/id/FuckingLoserMT/,FuckingLoserMT,"Beijing, China",11,,,
https://steamcommunity.com/id/1017467886/,Morningstar,"Qingdao, Shandong, China",7,4,27,
https://steamcommunity.com/profiles/76561199553008687/,13241224589,,5,,,
https://steamcommunity.com/profiles/76561198426624371/,可乐炸鸡红豆奶茶,China,7,4,80,
https://steamcommunity.com/profiles/76561199515821018/,行舟,,2,3,16,
https://steamcommunity.com/profiles/76561198283537129/,🚫LinZK,,8,5,31,
https://steamcommunity.com/profiles/76561198441322235/,平凡且普通,"Xinyang, Henan, China",5,4,8,
https://steamcommunity.com/profiles/76561198968080342/,月出,,6,5,32,
https://steamcommunity.com/id/n3cooling/,n3cooling,,78,66,464,4
https://steamcommunity.com/profiles/76561199086598421/,刁诈恶徒,,11,9,71,
https://steamcommunity.com/profiles/76561198866960468/,Aaron89757,,9,,,
https://steamcommunity.com/profiles/76561199628428336/,wenqwei15,,1,,,
https://steamcommunity.com/profiles/76561198063934906/,汉献帝·拜拉席恩,,9,4,35,
https://steamcommunity.com/profiles/76561197976806741/,population2001,,,,,
https://steamcommunity.com/profiles/76561198128674850/,1207030863,,8,3,51,
https://steamcommunity.com/profiles/76561198378319878/,汐,,,,,
https://steamcommunity.com/profiles/76561198846462560/,ENderator,,30,41,156,42
https://steamcommunity.com/profiles/76561198950882674/,我要月亮奔我而来,,40,23,62,
https://steamcommunity.com/profiles/76561198304530826/,恐怖双刀人,"Jiangsu, China",17,14,100,
https://steamcommunity.com/profiles/76561198132939024/,玩你大爷,,,,,
https://steamcommunity.com/id/1140622939/,Peninsula Ironbox,,64,50,590,11
https://steamcommunity.com/profiles/76561198418342310/,areswy,,6,,,
https://steamcommunity.com/profiles/76561199040438866/,百处,,5,,,
https://steamcommunity.com/id/LOVEDJY/,肥格,,,,,
https://steamcommunity.com/profiles/76561199100861579/,在江和湖之间选择了塘,China,4,4,18,
https://steamcommunity.com/profiles/76561199598066321/,1151760041,,1,1,22,
https://steamcommunity.com/profiles/76561198411942974/,哆啦是只猫,,6,3,35,
https://steamcommunity.com/profiles/76561199329331746/,Nero泡沫,,5,6,30,
https://steamcommunity.com/id/2132333/,遍地哀鸿满城血,"Guiyang, Guizhou, China",14,10,262,
https://steamcommunity.com/profiles/76561198985645999/,DoItInTheAM,,9,9,34,
https://steamcommunity.com/id/651803971/,Repi0n,"Sichuan, China",20,26,46,
https://steamcommunity.com/profiles/76561198833037033/,怎么这么吊你们,,41,46,250,250
https://steamcommunity.com/profiles/76561198110613329/,DAMIE,,,,,
https://steamcommunity.com/profiles/76561198209094409/,Ellie,,57,58,357,227
https://steamcommunity.com/profiles/76561199011810466/,逸建联,,5,,,
https://steamcommunity.com/profiles/76561199086647598/,白炸天,China,8,6,75,
https://steamcommunity.com/id/QQ1075434107/,老卫-,"Yingshang, Anhui, China",390,"3,318","5,560",253
https://steamcommunity.com/id/Suezalat/,Tom Can Do Anything,,26,8,87,
https://steamcommunity.com/id/BigHatPPP/,BuSkyy,,198,42,651,69
https://steamcommunity.com/profiles/76561198202809272/,wanghong1101,,8,3,88,
https://steamcommunity.com/profiles/76561198398485076/,狐孑虫,,,,,
https://steamcommunity.com/profiles/76561198976312170/,乱臣牛子,"Hunan, China",14,12,28,
https://steamcommunity.com/profiles/76561198226631472/,白银低分狗,China,26,,,10
https://steamcommunity.com/profiles/76561199029391225/,Pxs-Sooyaaa,China,13,16,148,
https://steamcommunity.com/profiles/76561199181187284/,Alpacino,China,12,7,62,
https://steamcommunity.com/profiles/76561199029188171/,悠哉小邱,China,3,2,13,
https://steamcommunity.com/id/CheifH/,CheifH,"Yangzhou, Jiangsu, China",9,6,124,
https://steamcommunity.com/profiles/76561199354416038/,Eureκa,,9,9,97,
https://steamcommunity.com/profiles/76561198042879365/,RAmen,China,26,37,138,1
https://steamcommunity.com/profiles/76561198262647250/,uesugisei,"Suita, Osaka, Japan",8,6,55,
https://steamcommunity.com/profiles/76561199313426050/,卡农,,4,5,12,
https://steamcommunity.com/profiles/76561198316668194/,尾巴尾巴,,,,,
https://steamcommunity.com/profiles/76561198960100855/,无心丨青辰,,4,2,23,
https://steamcommunity.com/profiles/76561198363076316/,大定,"Mentougou, Beijing, China",7,,,
https://steamcommunity.com/profiles/76561199049600929/,paper,,22,,,
https://steamcommunity.com/id/543273232531261/,Crayon Shin-chan,"Berkeley, California, United States",66,54,231,12
https://steamcommunity.com/profiles/76561199037222425/,王舍人彭于晏,,4,4,17,
https://steamcommunity.com/profiles/76561198256825048/,琦玉cc,"Yancheng, Jiangsu, China",9,,,
https://steamcommunity.com/profiles/76561198273214562/,除膜慰道,,8,,,
https://steamcommunity.com/id/greenzilong/,Kaffu,"Guangdong, China",20,20,358,1
https://steamcommunity.com/id/Huaisha2049/,怀沙2049,,100,215,69,6
https://steamcommunity.com/profiles/76561198070578922/,闷声发大财,"Hangzhou, Zhejiang, China",9,4,48,
https://steamcommunity.com/profiles/76561198301937374/,Wfory,,10,7,61,
https://steamcommunity.com/profiles/76561198982754721/,小头爸爸,China,7,3,144,
https://steamcommunity.com/id/18939675820/,DaSao,"Beijing, China",11,6,168,
https://steamcommunity.com/profiles/76561198268276236/,biaoge,,,,,
https://steamcommunity.com/profiles/76561198202000942/,上杉绘梨衣,,,,,
https://steamcommunity.com/profiles/76561199491658154/,linanbuan,,2,4,18,
https://steamcommunity.com/id/dyrshiymj/,独夜人,"Jincheng, Shanxi, China",11,11,123,
https://steamcommunity.com/profiles/76561199075270204/,我是超超超超级坐忘道,China,4,3,27,
